round,:,55
223892.51558681997,465.8064385145419,441.75766543000003
223842.60394054995,461.8290666510567,648.62892433
-,-,-
round,:,58
138166.97500941,452.8957296829234,376.42993350000006
138166.97500941,449.12595766663753,441.75766543000003
138137.27548302998,440.6014481837201,478.62483077
-,-,-
round,:,61
256898.38997778,434.662696472893,441.75766543000003
256835.56293420002,424.9847943542361,817.17325729
-,-,-
round,:,62
158976.87115111004,413.3791574036642,441.75766543000003
158969.21457276004,403.18203768207417,785.74290164
-,-,-
round,:,64
171059.05628778008,440.0600813455248,441.75766543000003
171056.17067753006,434.56986736314866,736.70826959
-,-,-
round,:,65
228084.00458793997,476.4816309861896,441.75766543000003
228010.80357610996,472.45768931679413,553.5732603
-,-,-
round,:,67
235678.88378501008,515.508225453689,441.75766543000003
235641.25637803006,505.1089243753736,562.48874846
235608.79428099006,498.3483791144741,817.17325729
-,-,-
round,:,71
254906.50086226003,435.4644947655506,817.17325729
254895.43975799,431.5699608548868,927.0566318499999
-,-,-
round,:,73
277408.19811864995,457.49276695614776,840.60270331
277397.3173036499,452.76492284587795,1002.78304957
277397.31730364996,450.9296369494877,1046.68597324
-,-,-
round,:,74
186369.96001559,520.3711370352985,840.60270331
186321.24531052998,509.80819023684506,861.76373355
-,-,-
round,:,75
268283.4351769299,511.40612201774707,836.99048897
268283.4351769299,508.7984942112986,1022.10520911
268176.7919743599,506.1620188852187,1073.46903566
-,-,-
round,:,77
298121.11003534996,524.3743755121961,1095.86496898
298104.03045257,522.0450292312057,1193.6636567799999
-,-,-
round,:,79
281839.46772571,532.7738927304788,1095.86496898
281800.75759704993,530.1177033587093,1101.1429897599999
-,-,-
round,:,81
272005.03629399993,491.0039136619032,1095.86496898
271990.52901179,483.26329074016667,1101.1429897599999
271987.67717393994,481.31657580675505,1178.81086742
271944.26963237,480.54201489025786,1225.41173711
271898.60404408997,482.9593288601363,1243.84345927
-,-,-
round,:,86
204795.2902457799,405.58270672939244,1095.86496898
204696.6048804799,401.1939649774693,1220.0137475800002
-,-,-
round,:,90
207034.32409510997,413.76000934448774,1060.32023817
206982.41726381998,413.2397689341884,1209.2497267099998
-,-,-
round,:,92
185665.12946372005,436.54793790356763,1180.27375163
185514.42306333003,432.62969350931434,1272.2149723
-,-,-
round,:,95
314424.57213433995,481.5674726313397,1426.4051874299998
314346.6784435999,468.152215952073,1457.39280997
-,-,-
round,:,97
298176.21273899986,473.60976924394384,1426.4051874299998
298098.48986898985,466.3747281999315,1559.6888447000001
-,-,-
round,:,99
347391.99532088015,475.7115239820969,1426.4051874299998
347314.4895008601,474.84373430571395,1587.87379508
347314.4895008601,473.602525165916,1655.8918559699998
347028.53851663007,472.64314116667543,1702.77174543
346969.2695327401,463.8608804528238,1725.90390386
346960.8661241901,463.05428533281747,1731.9664667099998
346960.86612419016,462.24337141500325,1755.11507913
-,-,-
round,:,101
341661.3002865202,512.3984716542936,1426.4051874299998
341631.6381331602,505.23504708394927,1702.77174543
-,-,-
round,:,105
294830.35683523,575.7728076724835,1409.54234322
294809.98082809,568.4045833025754,1415.93964121
294739.21302764,565.8944952840272,1426.4051874299998
294653.30379907,554.74922932557,1702.77174543
-,-,-
round,:,107
345058.17588409997,513.328951200702,1409.54234322
345058.08962748,505.759582282464,1426.4051874299998
-,-,-
round,:,120
277086.80272485,508.8145789973069,1687.04429209
277072.65705212,506.98720251765843,1884.27078261
-,-,-
round,:,121
352126.1647874901,458.6656459006352,1772.46110505
352034.74198803003,451.7558796772924,2027.21975678
-,-,-
round,:,122
257848.76563495002,459.5864739806117,1919.4663588900005
257826.04277068004,453.9113406082196,1969.00008101
-,-,-
round,:,55
223892.51558681997,465.8064385145419,441.75766543000003
223842.60394054995,461.8290666510567,648.62892433
-,-,-
round,:,58
138166.97500941,452.8957296829234,376.42993350000006
138166.97500941,449.12595766663753,441.75766543000003
138137.27548302998,440.6014481837201,478.62483077
-,-,-
round,:,61
256898.38997778,434.662696472893,441.75766543000003
256835.56293420002,424.9847943542361,817.17325729
-,-,-
round,:,62
158976.87115111004,413.3791574036642,441.75766543000003
158969.21457276004,403.18203768207417,785.74290164
-,-,-
round,:,64
171059.05628778008,440.0600813455248,441.75766543000003
171056.17067753006,434.56986736314866,736.70826959
-,-,-
round,:,65
228084.00458793997,476.4816309861896,441.75766543000003
228010.80357610996,472.45768931679413,553.5732603
-,-,-
round,:,67
235678.88378501008,515.508225453689,441.75766543000003
235641.25637803006,505.1089243753736,562.48874846
235608.79428099006,498.3483791144741,817.17325729
-,-,-
round,:,71
254906.50086226003,435.4644947655506,817.17325729
254895.43975799,431.5699608548868,927.0566318499999
-,-,-
round,:,73
277408.19811864995,457.49276695614776,840.60270331
277397.3173036499,452.76492284587795,1002.78304957
277397.31730364996,450.9296369494877,1046.68597324
-,-,-
round,:,74
186369.96001559,520.3711370352985,840.60270331
186321.24531052998,509.80819023684506,861.76373355
-,-,-
round,:,75
268283.4351769299,511.40612201774707,836.99048897
268283.4351769299,508.7984942112986,1022.10520911
268176.7919743599,506.1620188852187,1073.46903566
-,-,-
round,:,77
298121.11003534996,524.3743755121961,1095.86496898
298104.03045257,522.0450292312057,1193.6636567799999
-,-,-
round,:,79
281839.46772571,532.7738927304788,1095.86496898
281800.75759704993,530.1177033587093,1101.1429897599999
-,-,-
round,:,81
272005.03629399993,491.0039136619032,1095.86496898
271990.52901179,483.26329074016667,1101.1429897599999
271987.67717393994,481.31657580675505,1178.81086742
271944.26963237,480.54201489025786,1225.41173711
271898.60404408997,482.9593288601363,1243.84345927
-,-,-
round,:,86
204795.2902457799,405.58270672939244,1095.86496898
204696.6048804799,401.1939649774693,1220.0137475800002
-,-,-
round,:,90
207034.32409510997,413.76000934448774,1060.32023817
206982.41726381998,413.2397689341884,1209.2497267099998
-,-,-
round,:,55
223892.51558681997,465.8064385145419,441.75766543000003
223842.60394054995,461.8290666510567,648.62892433
-,-,-
round,:,58
138166.97500941,452.8957296829234,376.42993350000006
138166.97500941,449.12595766663753,441.75766543000003
138137.27548302998,440.6014481837201,478.62483077
-,-,-
round,:,61
256898.38997778,434.662696472893,441.75766543000003
256835.56293420002,424.9847943542361,817.17325729
-,-,-
round,:,62
158976.87115111004,413.3791574036642,441.75766543000003
158969.21457276004,403.18203768207417,785.74290164
-,-,-
round,:,64
171059.05628778008,440.0600813455248,441.75766543000003
171056.17067753006,434.56986736314866,736.70826959
-,-,-
round,:,65
228084.00458793997,476.4816309861896,441.75766543000003
228010.80357610996,472.45768931679413,553.5732603
-,-,-
round,:,67
235678.88378501008,515.508225453689,441.75766543000003
235641.25637803006,505.1089243753736,562.48874846
235608.79428099006,498.3483791144741,817.17325729
-,-,-
round,:,71
254906.50086226003,435.4644947655506,817.17325729
254895.43975799,431.5699608548868,927.0566318499999
-,-,-
round,:,73
277408.19811864995,457.49276695614776,840.60270331
277397.3173036499,452.76492284587795,1002.78304957
277397.31730364996,450.9296369494877,1046.68597324
-,-,-
round,:,74
186369.96001559,520.3711370352985,840.60270331
186321.24531052998,509.80819023684506,861.76373355
-,-,-
round,:,75
268283.4351769299,511.40612201774707,836.99048897
268283.4351769299,508.7984942112986,1022.10520911
268176.7919743599,506.1620188852187,1073.46903566
-,-,-
round,:,77
298121.11003534996,524.3743755121961,1095.86496898
298104.03045257,522.0450292312057,1193.6636567799999
-,-,-
round,:,79
281839.46772571,532.7738927304788,1095.86496898
281800.75759704993,530.1177033587093,1101.1429897599999
-,-,-
round,:,81
272005.03629399993,491.0039136619032,1095.86496898
271990.52901179,483.26329074016667,1101.1429897599999
271987.67717393994,481.31657580675505,1178.81086742
271944.26963237,480.54201489025786,1225.41173711
271898.60404408997,482.9593288601363,1243.84345927
-,-,-
round,:,86
204795.2902457799,405.58270672939244,1095.86496898
204696.6048804799,401.1939649774693,1220.0137475800002
-,-,-
round,:,90
207034.32409510997,413.76000934448774,1060.32023817
206982.41726381998,413.2397689341884,1209.2497267099998
-,-,-
round,:,92
185665.12946372005,436.54793790356763,1180.27375163
185514.42306333003,432.62969350931434,1272.2149723
-,-,-
round,:,95
314424.57213433995,481.5674726313397,1426.4051874299998
314346.6784435999,468.152215952073,1457.39280997
-,-,-
round,:,97
298176.21273899986,473.60976924394384,1426.4051874299998
298098.48986898985,466.3747281999315,1559.6888447000001
-,-,-
round,:,99
